[2024-05-08T01:23:12.180+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-08T01:23:12.209+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sample.upload_to_gcs scheduled__2024-05-05T11:00:00+00:00 [queued]>
[2024-05-08T01:23:12.218+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sample.upload_to_gcs scheduled__2024-05-05T11:00:00+00:00 [queued]>
[2024-05-08T01:23:12.218+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-08T01:23:12.252+0000] {taskinstance.py:2327} INFO - Executing <Task(LocalFilesystemToGCSOperator): upload_to_gcs> on 2024-05-05 11:00:00+00:00
[2024-05-08T01:23:12.308+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'sample', 'upload_to_gcs', 'scheduled__2024-05-05T11:00:00+00:00', '--job-id', '239', '--raw', '--subdir', 'DAGS_FOLDER/my_dag.py', '--cfg-path', '/tmp/tmp0uur9c77']
[2024-05-08T01:23:12.315+0000] {standard_task_runner.py:91} INFO - Job 239: Subtask upload_to_gcs
[2024-05-08T01:23:12.278+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=436) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-08T01:23:12.328+0000] {standard_task_runner.py:63} INFO - Started process 444 to run task
[2024-05-08T01:23:12.425+0000] {task_command.py:426} INFO - Running <TaskInstance: sample.upload_to_gcs scheduled__2024-05-05T11:00:00+00:00 [running]> on host 5bc5768c5236
[2024-05-08T01:23:12.841+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='sample' AIRFLOW_CTX_TASK_ID='upload_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-05-05T11:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-05-05T11:00:00+00:00'
[2024-05-08T01:23:12.844+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-08T01:23:12.895+0000] {connection.py:274} WARNING - Connection schemes (type: google_cloud_platform) shall not contain '_' according to RFC3986.
[2024-05-08T01:23:12.910+0000] {base.py:84} INFO - Using connection ID 'my_gcp_conn' for task execution.
[2024-05-08T01:23:13.506+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_1.csv uploaded to pm25_raw/2024-05-05_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:13.580+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_5.csv uploaded to pm25_raw/2024-05-05_5.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:13.655+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_2.csv uploaded to pm25_raw/2024-05-04_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:13.740+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_19.csv uploaded to pm25_raw/2024-05-02_19.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:13.815+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_21.csv uploaded to pm25_raw/2024-05-02_21.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:13.880+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_22.csv uploaded to pm25_raw/2024-05-03_22.csv in dw-projec-swu-ds525 bucket
